                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0726,                0.85033,                 1.2521,                0.78378,                0.69011,                  0.726,                 0.4975,                  1.225,                 1.0005,                  1.393,               0.006634,               0.006634,               0.006634
                     37,                 1.0711,                0.85939,                 1.2506,                0.77159,                0.70458,                0.73639,                  0.508,                 1.2111,                0.99216,                 1.3741,               0.006535,               0.006535,               0.006535
                     38,                 1.0666,                0.84602,                 1.2466,                0.77803,                0.70935,                0.73756,                0.50791,                 1.2069,                0.97393,                 1.3759,               0.006436,               0.006436,               0.006436
                     39,                 1.0693,                 0.8389,                 1.2515,                0.79041,                0.69636,                0.73447,                0.50571,                 1.2023,                0.98209,                 1.3692,               0.006337,               0.006337,               0.006337
                     40,                 1.0637,                0.84075,                 1.2454,                0.79252,                0.69305,                0.73536,                0.51113,                 1.1983,                0.98458,                 1.3631,               0.006238,               0.006238,               0.006238
                     41,                 1.0578,                0.82834,                 1.2406,                0.79374,                0.69288,                0.73144,                0.50689,                 1.2209,                0.98123,                 1.3773,               0.006139,               0.006139,               0.006139
                     42,                 1.0515,                  0.819,                 1.2379,                0.80532,                0.68636,                 0.7427,                0.51922,                 1.2017,                0.97256,                 1.3692,                0.00604,                0.00604,                0.00604
                     43,                 1.0531,                0.81062,                 1.2379,                0.80362,                0.68796,                0.73143,                0.50583,                 1.2058,                0.98263,                 1.3736,               0.005941,               0.005941,               0.005941
                     44,                 1.0552,                0.81131,                 1.2353,                  0.789,                0.70101,                0.73404,                0.50538,                  1.217,                0.97124,                 1.3766,               0.005842,               0.005842,               0.005842
                     45,                 1.0516,                0.80378,                 1.2349,                0.79838,                0.70143,                0.73996,                0.51458,                 1.1946,                0.96012,                 1.3609,               0.005743,               0.005743,               0.005743
                     46,                 1.0465,                0.80447,                 1.2345,                0.80135,                0.68685,                0.73187,                0.51097,                 1.2039,                0.99224,                 1.3676,               0.005644,               0.005644,               0.005644
                     47,                  1.037,                0.78558,                 1.2264,                 0.7912,                0.70213,                 0.7346,                 0.5111,                 1.1972,                0.96855,                 1.3638,               0.005545,               0.005545,               0.005545
                     48,                 1.0304,                0.77995,                 1.2272,                0.77453,                 0.6999,                 0.7381,                0.51361,                 1.2014,                0.97759,                 1.3676,               0.005446,               0.005446,               0.005446
                     49,                 1.0426,                0.77942,                 1.2289,                0.79827,                0.69676,                0.74264,                0.51604,                 1.2013,                0.96391,                  1.364,               0.005347,               0.005347,               0.005347
                     50,                 1.0286,                0.76961,                 1.2208,                0.80137,                0.68861,                0.73962,                0.51905,                 1.1986,                0.98759,                 1.3711,               0.005248,               0.005248,               0.005248
                     51,                 1.0273,                0.76402,                 1.2175,                0.71943,                0.69441,                0.73664,                 0.5135,                 1.1994,                0.97636,                  1.367,               0.005149,               0.005149,               0.005149
                     52,                 1.0234,                0.75777,                  1.215,                0.81379,                0.68978,                0.73878,                0.51535,                 1.1951,                0.98634,                  1.368,                0.00505,                0.00505,                0.00505
                     53,                 1.0222,                0.75544,                 1.2108,                0.79209,                 0.6982,                0.73864,                 0.5158,                 1.2066,                0.97607,                 1.3727,               0.004951,               0.004951,               0.004951
                     54,                 1.0126,                0.74477,                 1.2114,                0.78461,                0.71224,                0.74134,                0.51551,                    1.2,                0.97543,                 1.3687,               0.004852,               0.004852,               0.004852
                     55,                 1.0065,                0.74425,                  1.208,                0.78344,                0.71235,                0.73729,                0.51472,                 1.1998,                 0.9763,                 1.3696,               0.004753,               0.004753,               0.004753
                     56,                 1.0036,                0.73999,                 1.2091,                0.69164,                0.75202,                0.73843,                0.51549,                 1.1985,                0.97487,                 1.3703,               0.004654,               0.004654,               0.004654
                     57,                 1.0053,                0.74204,                 1.2064,                0.66632,                0.75301,                0.73463,                0.51224,                 1.1958,                0.98333,                 1.3723,               0.004555,               0.004555,               0.004555
                     58,                0.99463,                0.72353,                  1.198,                0.75493,                0.69266,                0.73899,                  0.518,                 1.1983,                0.98387,                 1.3768,               0.004456,               0.004456,               0.004456
                     59,                 1.0016,                0.72024,                 1.2055,                0.71537,                0.73351,                0.73686,                0.51332,                 1.2004,                 0.9942,                  1.374,               0.004357,               0.004357,               0.004357
                     60,                0.99743,                0.72065,                 1.2012,                0.67493,                0.74223,                0.73235,                0.50953,                 1.2068,                0.98942,                  1.379,               0.004258,               0.004258,               0.004258
                     61,                0.98398,                0.69876,                 1.1937,                0.72494,                 0.6982,                0.73427,                0.50847,                 1.2141,                0.98703,                 1.3813,               0.004159,               0.004159,               0.004159
                     62,                0.98795,                0.70079,                 1.1959,                0.76243,                0.70741,                0.73311,                0.51108,                 1.2225,                0.99938,                 1.3919,                0.00406,                0.00406,                0.00406
                     63,                0.98976,                0.70364,                 1.1956,                 0.7726,                0.69293,                0.73262,                0.50934,                 1.2247,                0.99791,                 1.3953,               0.003961,               0.003961,               0.003961
                     64,                0.97112,                0.68863,                 1.1863,                  0.768,                0.69512,                0.73712,                0.51335,                 1.2048,                0.98265,                 1.3856,               0.003862,               0.003862,               0.003862
                     65,                0.97394,                  0.684,                 1.1867,                0.73826,                0.71758,                0.73362,                0.51222,                 1.2116,                0.98158,                 1.3895,               0.003763,               0.003763,               0.003763
                     66,                0.97903,                 0.6905,                 1.1897,                0.74203,                0.71507,                0.73337,                0.51272,                 1.2136,                0.98786,                 1.3878,               0.003664,               0.003664,               0.003664
                     67,                0.97018,                0.68484,                  1.184,                0.72265,                0.73179,                0.73561,                0.51429,                 1.2188,                0.98795,                 1.3948,               0.003565,               0.003565,               0.003565
                     68,                 0.9635,                0.67624,                 1.1791,                0.74644,                0.71682,                 0.7344,                0.51293,                  1.214,                0.98669,                 1.3886,               0.003466,               0.003466,               0.003466
